Timestamp,roll,pitch, yaw, eyes_up
01-07-2015-01:59:59:325,18.069845199585,-8.8868522644043,-1.33816647529602,0
01-07-2015-01:59:59:413,18.0772132873535,-8.80908966064453,-1.3688371181488,0
01-07-2015-01:59:59:505,18.0221996307373,-9.15746879577637,-1.08450293540955,0
01-07-2015-01:59:59:593,17.9849185943604,-8.92871475219727,-1.18916523456573,0
01-07-2015-01:59:59:685,18.0111656188965,-8.63655757904053,-1.88935708999634,0
01-07-2015-01:59:59:773,18.1287937164307,-8.41534423828125,-2.53838348388672,0
01-07-2015-01:59:59:901,18.1872501373291,-8.38924789428711,-2.74123024940491,0
01-07-2015-01:59:59:953,18.0851192474365,-8.72523021697998,-3.51536798477173,0
01-07-2015-02:00:00:081,18.3214206695557,-9.48848724365234,-2.8716733455658,0
01-07-2015-02:00:00:173,18.4105987548828,-9.33355617523193,-2.31450510025024,0
01-07-2015-02:00:00:261,18.4350185394287,-9.36165809631348,-2.3044331073761,0
01-07-2015-02:00:00:353,18.4707298278809,-9.26843452453613,-2.08274006843567,0
01-07-2015-02:00:00:481,12.1691560745239,-8.18016529083252,-3.0960488319397,0
01-07-2015-02:00:00:613,-8.4493522644043,-3.33814287185669,3.89876914024353,0
01-07-2015-02:00:00:701,-24.574369430542,-1.50451016426086,4.54068851470947,0
01-07-2015-02:00:00:793,-28.9147300720215,-1.11409533023834,3.10490870475769,0
01-07-2015-02:00:01:165,-31.5753955841064,-0.955167055130005,2.50516748428345,0
01-07-2015-02:00:01:292,-31.806224822998,-2.5145800113678,2.44959187507629,0
01-07-2015-02:00:01:424,-31.2763252258301,-2.46583795547485,2.76804614067078,0
01-07-2015-02:00:01:556,-30.8102722167969,-1.76170659065247,2.84655976295471,0
01-07-2015-02:00:01:889,-30.7684764862061,-2.77628421783447,2.65759611129761,100
01-07-2015-02:00:02:017,-29.8249034881592,-4.19828796386719,2.86455631256104,100
01-07-2015-02:00:02:109,-29.4788665771484,-4.45845174789429,3.19374084472656,100
01-07-2015-02:00:02:197,-29.3920001983643,-4.65090417861938,3.30210614204407,100
01-07-2015-02:00:02:329,-29.2886180877686,-4.39258289337158,3.5221700668335,100
01-07-2015-02:00:02:377,-29.2072429656982,-4.31479454040527,3.37904715538025,100
01-07-2015-02:00:02:509,-29.1105728149414,-4.24619626998901,3.46131467819214,100
01-07-2015-02:00:02:597,-29.053186416626,-4.32243394851685,3.57639241218567,100
01-07-2015-02:00:02:689,-29.045166015625,-4.64411926269531,3.79036450386047,0
01-07-2015-02:00:02:776,-28.9763412475586,-4.65869617462158,3.88447022438049,0
01-07-2015-02:00:02:868,-28.9797840118408,-4.51957988739014,3.8530695438385,0
01-07-2015-02:00:02:956,-28.9767169952393,-4.59265184402466,3.52325296401978,0
01-07-2015-02:00:03:048,-28.8125057220459,-4.19691801071167,3.59207820892334,0
01-07-2015-02:00:03:136,-28.7833080291748,-4.09479427337646,3.61877059936523,0
01-07-2015-02:00:03:224,-28.7609519958496,-4.08073425292969,3.63328528404236,0
01-07-2015-02:00:03:317,-28.7554321289063,-4.06526756286621,3.64157509803772,0
01-07-2015-02:00:03:409,-28.7436904907227,-4.01535320281982,3.62737917900085,0
01-07-2015-02:00:03:497,-28.7155094146729,-4.04989385604858,3.60768556594849,0
01-07-2015-02:00:03:585,-28.6367645263672,-3.58084726333618,3.5960259437561,0
01-07-2015-02:00:03:677,-28.6156845092773,-3.52646923065186,3.59530377388,0
01-07-2015-02:00:03:765,-28.6723289489746,-3.82173490524292,3.68696522712708,0
01-07-2015-02:00:03:853,-28.6392917633057,-3.82164764404297,3.72725296020508,0
01-07-2015-02:00:03:945,-28.7117614746094,-4.11617183685303,3.71316814422607,0
01-07-2015-02:00:04:033,-28.7652721405029,-4.30985021591187,3.58007216453552,0
01-07-2015-02:00:04:124,-28.7181167602539,-4.32419300079346,3.67368078231812,0
01-07-2015-02:00:04:212,-28.6488723754883,-3.97824311256409,3.65654349327087,0
01-07-2015-02:00:04:304,-28.6016998291016,-3.20274686813354,3.02684140205383,0
01-07-2015-02:00:04:392,-28.6150608062744,-3.07369637489319,3.07441759109497,0
01-07-2015-02:00:04:484,-28.5955696105957,-3.04479765892029,3.06674766540527,0
01-07-2015-02:00:04:572,-28.5817260742188,-3.00837659835815,2.81365966796875,100
01-07-2015-02:00:04:664,-28.4054279327393,-4.15824556350708,2.95130634307861,100
01-07-2015-02:00:04:753,-28.2736301422119,-4.29242372512817,2.73392081260681,100
01-07-2015-02:00:04:845,-28.2392692565918,-4.73032188415527,2.85668659210205,100
01-07-2015-02:00:04:933,-28.1459522247314,-4.83197689056396,3.00823211669922,100
01-07-2015-02:00:05:061,-28.2378578186035,-5.71812963485718,3.31834006309509,100
01-07-2015-02:00:05:113,-28.0091533660889,-5.49274492263794,2.55204153060913,100
01-07-2015-02:00:05:201,-27.9971370697021,-5.90052938461304,2.8332576751709,100
01-07-2015-02:00:05:293,-27.8798580169678,-5.81744384765625,2.68692326545715,100
01-07-2015-02:00:05:381,-27.876106262207,-5.80616569519043,2.68601822853088,100
01-07-2015-02:00:05:472,-27.452564239502,-4.08201885223389,2.18417572975159,0
01-07-2015-02:00:05:560,-26.7662181854248,-2.65703082084656,0.675054907798767,0
01-07-2015-02:00:05:652,-26.7853755950928,-2.76814913749695,0.629234552383423,0
01-07-2015-02:00:05:740,-26.5209445953369,-2.37100863456726,3.38521790504456,0
01-07-2015-02:00:05:832,-25.7975158691406,-0.51722651720047,3.16752743721008,100
01-07-2015-02:00:05:920,-25.5147552490234,-0.642593145370483,3.34574270248413,100
01-07-2015-02:00:06:012,-24.2915706634521,-1.1600843667984,3.66361737251282,100
01-07-2015-02:00:06:101,-22.8355560302734,-2.74550127983093,2.66420483589172,0
01-07-2015-02:00:06:189,-22.7166843414307,-3.41850900650024,2.09679794311523,0
